Sloka,Prose
evamuktastu me śakro bāhū yojanamāyatau prādādāsyaṃ ca me kukṣau tīkṣṇadaṃṣṭramakalpayat,evam uktaḥ śakraḥ me yojanam āyatau bāhū prādāt me kukṣau tīkṣṇadaṃṣṭram āsyaṃ ca akalpayat
yadi dṛṣṭā tvayā sītā jambu jambūphalopamāpriyāṃ yadi vijānīṣe niḥśaṅkaṃ kathayasva me,jambu tvayā sītā yadi dṛṣṭā jambūphalopamā priyām vi jānīṣe yadi me niḥśaṅkam kathayasva
evaṃ sa kṛpaṇaṃ tatra paryadevayatāsakṛttato'smai kartumudakaṃ pravṛttassahabhāryayā,saḥ evam tatra asakṛt kṛpaṇam paryadevayata tataḥ asmai bhāryayā saha udakaṃ kartum pravṛttaḥ
sagarasya ca putrāṇāṃ prādurāsīnmahātmanām pṛthivyāṃ bhidyamānāyāṃ nirghātasamanisvana:,mahātmanām sagarasya putrāṇām pṛthivyām bhidyamānāyām nirghātasamanisvana: prādurāsīt
śayanānyatra nārīṇāṃ śubhrāṇi bahudhā punaḥparasparaṃ samāśliṣya kāścitsuptā varāṅganāḥ,atra nārīṇām śayanāni punaḥ bahudhā śubhrāṇi kāścit varāṅganāḥ parasparam samāśliṣya suptāḥ
sarvathā'hamanugrāhyo devatānāṃ na saṃśayaḥupapanna guṇopetassakhā yasya bhavānmama,upapannaḥ guṇopetaḥ bhavān yasya mama sakhā aham sarvathā devatānām anugrāhyaḥ saṃśayaḥ na
rājyaṃ bhraṣṭaṃ vane vāsassītā naṣṭā hato dvijaḥīdṛśīyaṃ mamālakṣmīrnirdahedapi pāvakam,rājyam bhraṣṭam vane vāsaḥ sītā naṣṭā dvijaḥ hataḥ mama īdṛśī alakṣmīḥ pāvakamapi nirdahet
abhivarṣati kāmairyaḥ parjanyaḥ pṛthivīmivasa kāmapāśaparyasto mahātejā mahīpatiḥ,mahātejāḥ yaḥ mahīpatiḥ pṛthivīm parjanyaḥ iva kāmaiḥ abhivarṣati saḥ kāmapāśaparyastaḥ
taṃ cāpi samanujñāpya dharmajñassītayā saha rāghava śśokasammūḍho jananīmabhyavādayat,dharmajñaḥ rāghavaḥ sītayā saha tam samanujñāpya śokasammūḍhaḥ jananīm abhyavādayat
atha rāmassarinmadhye papraccha munipuṅgavamvāriṇo bhidyamānasya kimayaṃ tumulo dhvani:,atha rāma: sarinmadhye munipuṅgavam prapaccha bhidyamānasya vāriṇa: tumula: ayaṃ dhvani: kim
macchandādeva te brahman pravṛtteyaṃ sarasvatī rāmasya caritaṃ sarvaṃ kuru tvamṛṣisattama,brahman te iyam sarasvatī macchandādeva pravṛttā ṛṣisattama rāmasya caritam sarvam tvam kuru
āpūryamāṇaṃ śaśvacca tejobalaparākramaiḥśaśinaṃ śuklapakṣādau vardhamānamiva śriyā bṛhaspatisamaṃ buddhyā vikrame sadṛśaṃ pituḥśuśrūṣamāṇaṃ tārasya śakrasyeva purandaram bharturarthe pariśrāntaṃ sarvaśāstravidāṃvaramabhisandhātumārebhe hanūmānaṅgadaṃ tataḥ,śaśvat tejobalaparākramaiḥ āpūryamāṇam śuklapakṣādau śaśinamiva śriyā vardhamānam buddhyā bṛhaspatisamam vikrame pituḥ sadṛśam śukrasya purandaram iva tārasya śuśrūṣamāṇam bhartuḥ arthe pariśrāntam aṅgadam sarvaśāśtravidāṃvaram hanumān tataḥ abhisandhātum ārebhe
bharatenaivamuktastu nṛpo mātāmahastadātamuvāca śubhaṃ vākyaṃ śirasyāghrāya rāghavam,tadā bharatena evam uktaḥ mātāmahaḥ nṛpaḥ tam rāghavam śirasi āghrāya śubham vākyam uvāca
gacchatā mātulakulaṃ bharatena tadā'naghaśatrughno nityaśatrughno nītaḥ prītipuraskṛtaḥ,mātulakulam gacchatā bharatena tadā anagha: nityaśatrughna: śatrughna: prītipuraskṛta: nīta:
rūpamagryaṃ ca lokeṣu saukumāryaṃ vayaścateiha vāsaśca kāntāre cittamunmādayanti me,lokeṣu agryam te rūpam saukumāryam vayaśca iha kāntāre vāsaśca me cittam unmādayanti
sa viddho nyasya vaidehīṃ śūlamudyamya rākṣasaḥabhyadravatsusaṅkṛddhastadā rāmaṃ salakṣmaṇam,viddhaḥ saḥ rākṣasaḥ tadā vaidehīm nyasya śūlam udyamya susaṅkṛddhaḥ salakṣmaṇam rāmam abhyadravat
daśayojanavistīrṇā triṃśadyojanamāyatāchāyā vānarasiṃhasya jale cārutarābhavat,daśayojanavistīrṇā triṃśadyojanam āyatā vānarasiṃhasya chāyā jale cārutarā abhavat
āpṛcchya ca tadā vipraṃ vratacaryāṃ nivedya cagacchanti smāpadeśāttā bhītāstasya pitusstriya:,tadā tā: striya: vipram āpṛcchya vratacaryām nivedya tasya pitu: bhītā: apadeśāt gacchanti sma
gatvā'tharakṣodhipateśśaśaṃsussenāpatiṃpāvakasūnuśastam tacchāpiteṣāṃvacanaṃniśamyarakṣodhipaḥkrodhavaśaṃjagāma,atha gatvā senāpatim pāvakasūnuśastam rakṣodhipateḥ śaśaṃsuḥ rakṣodhipaḥ teṣām tat vacanam niśamya krodhavaśam jagāma
nānāvidhaistīraruhai rvṛtāṃ puṣpaphaladrumaiḥrājantīṃ rājarājasya nalinīmiva sarvataḥ,sarvataḥ nānāvidhaiḥ tīraruhaiḥ puṣpaphaladrumaiḥ vṛtām rājarājasya nalinīm iva rājantīm
tebhīmavegāharayonardamānāstatastataḥ mamanthūrākṣasānvīrānnāmānicababhāṣire,bhīmavegāḥ teharayaḥ nardamānāḥ tatastataḥ vīrān rākṣasān mamanthuḥ nāmānica babhāṣire
sā rāmaṃ parṇaśālāyāmupaviṣṭaṃ parantapamsītayā saha durdarṣamabravītkāmamohitā,kāmamohitā sā sītayā saha parṇaśālāyām upaviṣṭaṃ parantapam durdharṣam rāmam abravīt
na bhīto'smi na mūḍho'sminopajapto'smiśatrubhiḥ na pramatto na niḥsnehovismṛtā na ca satkriyā,bhītaḥ nāsmi mūḍhaḥ na asmi śatrubhiḥ upajaptaḥ na asmi pramattaḥ na niḥsnehaḥ na satkriyā ca na
tasyaivaṃ bruvato'mātyāstathetyuktvā samāhitāḥnyaveśayaṃstāṃ chandena svena svena pṛthakpṛthak,tasya evam bruvataḥ amātyāḥ tatheti uktvā samāhitāḥ tām svena svena chandena pṛthak pṛthak nyaveśayan
bhāvajñena kṛtajñena dharmajñena ca lakṣmaṇatvayā putreṇa dharmātmā na saṃvṛttaḥ pitā mama,bhāvajñena kṛtajñena dharmajñena putreṇa tvayā mama dharmātmā pitā na saṃvṛttaḥ
yadāha rāmo dharmātmā tatkuruṣva samāhitaḥrājaṃ stiṣṭhasva samaye bhava satyapratiśravāḥ,rājan dharmātmā rāmaḥ yat āha tat samāhitaḥ kuruṣva satyapratiśravāḥ svasamaye bhava
vidhūya śokaṃ parihṛṣṭamānasā maharṣiyāte pathi suvyavatsthitāḥvaneratā vanyaphalāśanāḥ pituśśubhāṃ pratijñāṃ paripālayanti te,te śokam vidhūya parihṛṣṭamānasāḥ maharṣiyāte pathi suvyavatsthitāḥ vane ratāḥ vanyaphalāśanāḥ pituḥ śubhām pratijñām paripālayanti
jābālestu vacaśśrutvā rāma ssatyātmanāṃ varaḥuvāca parayā bhaktyā svabuddhyā cāvipannayā,satyātmanām varaḥ rāmaḥ jābāleḥ vacaḥ śrutvā parayā bhaktyā avipannayā svabuddhyā ca uvāca
śalyasaṃpīḍitaṃśastaṃniḥśvasantaṃtuṃlakṣmaṇam rāmastuduḥkhasantaptaṃtaṃtuniḥśvāsapīḍitam mūrdhnicainamupāghrāyabhūyaḥsaṃspṛśya ca tvaran uvācalakṣmaṇaṃvākyamāśvāsyapuruṣarṣabhaḥ,puruṣarṣabhaḥ śalyasampīḍitam śastam niḥśvasantam lakṣmaṇam duḥkhasantaptam niḥśvāsapīḍitam tam lakṣmaṇam bhūyaḥ saṃspṛśya āśvāsya tvaran vākyam uvāca
amātyānupadhātītānpitṛpaitāmahāñchucīnśreṣṭhāṃchreṣṭheṣukaccitvaṃ niyojayasi karmasu,upadhātītān pitṛpaitāmahān śucīn śreṣṭhān amātyān tvam śreṣṭheṣu karmasu niyojayasi kaccit
yanmātāpitarau vṛttaṃ tanaye kurutassadāna supratikaraṃ tattu mātrā pitrā ca yatkṛtam yathāśaktipradānena svāpanocchādanena canityaṃ ca priyavādena tathā saṃvardhanena ca,mātāpitarau tanaye sadā yat vṛttam kurutaḥ yathāśaktipradānena svāpanocchādanena ca nityaṃ ca priyavādena tathā saṃvardhanena ca mātrā pitrā ca yat kṛtam tattu na supratikaram
nakhadaṃṣṭrāyudhānvīrānsimhaśārdūlavikramānvānarānvāraṇendrābhānkṣipraṃ drakṣyasi saṅgatān,nakhadaṃṣṭrāyudhān vīrān siṃhaśārdūlavikramān vāraṇendrābhān saṅgatān vānarān kṣipram drakṣyasi
etadākhyānamāyuṣyaṃ paṭhanrāmāyaṇaṃ nara: saputrapautrassagaṇa: pretya svarge mahīyate,etad rāmāyaṇam ākhyānam āyuṣyam paṭhan nara: saputrapautra: sagaṇa: pretya svarge mahīyate
tasyāḥ paramakalyāṇyāstāmrāṇi surabhīṇi capadmapatrāṇi vaidehyā abhyakīryanta rāvaṇam,paramakalyāṇyāḥ tasyāḥ vaidehyāḥ tāmrāṇi surabhīṇi padmapatrāṇi rāvaṇam abhyakīryanta
vātāyanagatānāṃ ca strīṇāmanvantarāpaṇam rāmaśokābhitaptānāṃ śuśrāva paridevanam,vātāyanagatānām strīṇām anvantarāpaṇam rāmaśokābhitaptānām paridevanam śuśrāva
mā vimarśo vasumatī bharatāya pradīyatām na hi me kāṅkṣitaṃ rājyaṃ sukhamātmani vā priyamyathānideśaṃ kartuṃ vai tavaiva raghunandana,vimarśaḥ mā vasumatī bharatāya pradīyatām raghunandana me rājyam ātmani sukhaṃ vā kāṅkṣitam na hi tava yathā nideśam kartum eva priyaṃ vai
tathā vasiṣṭhavacanādṛśyaśṛṅgasya cobhayo:śubhe divasanakṣatre niryāto jagatīpati:,tadā tathā vaśiṣṭhavacanāt ṛśyaśṛṅgasya ca ubhayo: jagatīpati: śubhe divasanakṣatre niryāta:
abhiṣecanikaṃ caiva sarvametadupaskṛtampuraskṛtya gamiṣyāmi rāmahetorvanaṃ prati,etat upaskṛtam sarvam ābhiṣecanikam puraskṛtya rāmahetoḥ vanaṃ prati gamiṣyāmi
nīlameghāśritā vidyutsphurantī pratibhāti māsphurantī rāvaṇasyāṅke vaidehīva tapasvinī,nīlameghāśritā sphurantī vidyut rāvaṇasya aṅke sphurantī tapasvinī vaidehīva mā pratibhāti
kuñjarān kuñjarārohān patākādhvajinorathān karṣuścadadaṃśuścadaśanaiḥkrodhamūrchitāḥ,vyadārayan kuñjarān kuñjarārohān patākādhvajinaḥ rathān cakarṣuḥ daśanaiḥ dadaṃśuśca
tato bhuktavatāṃ teṣāṃ viprāṇāmilvalo'bravīt vātāpe niṣkramanveti svareṇa mahatā vadan,tataḥ teṣāṃ viprāṇām bhuktavatām ilvalaḥ mahatā svareṇa vadan vātāpe niṣkramasva iti abravīt
siktasammṛṣṭarathyā hi tadaharvanamālinīāsīdayodhyānagarī samucchritagṛhadhvajā,tadahaḥ ayodhyānagarī siktasammṛṣṭarathyā hi vanamālinī samucchritagṛhadhvajā āsīt
akṣayābalavantaścaśūrālabdhavarāḥpunaḥ tvayāsaṃvatsaraṃyuddhvāsamaredānavāvibho,akṣayā: balavantaśca: śūrā: labdhavarāḥ tvayā: saṃvatsaraṃ: yuddhvā: punaḥ samare: dānavā: vibho:
assrairastrāṇiyohanyācchakrasyāpimahātmanaḥ so'yamurvyāṃhataśśetemahārhaśayanocitaḥ,yaḥ mahātmanaḥ śakrasya astrāṇyapi astraḥ hanyāt mahārhaśayanocitaḥ saḥayam hataḥ urvyām śete
adyaprabhṛtiyāmanyābalānnārīṃgamiṣyasi tadāteśatadhāmūrdhāphaliṣyatinasaṃśayaḥ,adyaprabhṛti: anyām nārīm gamiṣyasi: tadā: te: mūrdā: śatadhāphaliṣyati: saṃśaya: na:
mayā tu vacanaṃ śrutvā teṣāmevaṃ mukhāccyutamkṛtvā caraṇaśuśrūṣāṃ vākyametadudāhṛtam,evam teṣām mukhāt cyutam vacanam śrutvā mayā caraṇaśuśrūṣām kṛtvā etat vākyam udāhṛtam
susaṃvṛtaṃ pārthipalakṣaṇaiścataṃ cārunetraṃ mṛgaśābanetrāadṛṣṭapūrvaṃ puruṣapradhānamayaṃ sa kākutstha iti prajajñe,mṛgaśāvanetrā pārthivalakṣaṇaiḥ susaṃvṛtam cārunetram adṛṣṭapūrvam puruṣapradhānam tam ayam saḥ kākutstha: iti prajajñe
sarvathā hi nagantavyamīdṛśaḥ kva gamiṣyasideśakālau pratīkṣasva pakṣau tvaṃ pratipatsyase,sarvathā hi na gantavyam idṛśaḥ kva gamiṣyasi deśakālau pratīkṣasva pakṣau tvaṃ pratipatsyase
niṣkrāntamātre bhavati sasīte sahalakṣmaṇeduḥkhaśokābhibhūtastu rājā tridivamabhyagāt,sasīte sahalakṣmaṇe bhavati niṣkrāntamātre rājā duḥkhaśokābhibhūtaḥ tridivam abhyagāt
tatra jātaṃ bahu dravyaṃ dhanadhānyamajāvikamtato vṛṇīṣva kaikeyi yadyattvaṃ manasecchasi,tatra dhanadhānyam ajāvikam bahu dravyam jātam kaikeyi tata: yadyat tvam manasā icchasi vaṇīṣva
siddhārthāste narā rāmamāgataṃ saha sītayālakṣmaṇaṃ ca mahābāhuṃ drakṣyanti punarāgatam,sītayā saha āgatam rāmam punaḥ āgatam mahābāhum lakṣmaṇaṃ ca drakṣyanti te narāḥ siddhārthāḥ
sāgaresetubandaṃtunaśraddadhyāṃkathañcana avaśyaṃcāpisaṅ khyeyaṃtanmayāvānaraṃbalam,sāgare tam setubandham kathañcana naśraddadhām tat vānaraṃbalam mayā avaśyam saṅ khyeyaṃca
abhivṛṣṭā mahāmeghairnirmalāścitrasānavaḥanuliptā ivā'bhānti girayaścitradīptibhiḥ,mahāmeghaiḥ abhivṛṣṭāḥ nirmalāḥ citrasānavaḥ girayaḥ citradīptibhiḥ anuliptāḥ iva ābhānti
sa kṛttamūlassahasevavṛkṣaḥkṣitaupapātakṣatajokṣitāṅgaḥ tāṃcāsyaghorāṃyamadaṇḍakalpāṃgadāṃpragṛhyāśutadānanāda,saḥ kṛttamūlaḥ vṛkṣaḥiva kṣatajokṣitāṅgaḥ sahasā kṣitau papāta tadā asya ghorām yamadaṇḍakalpām tāṃgadām āśu pragṛhya nanāda
śaradhārāsamūhānsa mahāmegha ivotsṛjan vyasṛjatsadṛśaṃ nādaṃ jalārdrasya tu dundubheḥ,saḥ mahāmegha iva śaradhārāsamūhān utsṛjan jalārdrasya dundubheḥ sadṛśam nādam vyasṛjat
balaistu saṅkulāṃ kṛtvā laṅkāṃ parabalārdanaḥmāṃ nayedyadi kākutsthastattasya sadṛśaṃ bhavet,parabalārdhanaḥ kākutsthaḥ laṅkām śaraiḥ saṅkulām kṛtvā mām nayedyadi tat tasya sadṛśam bhavet
śokaścakilakālenagacchatāhyapagacchati mamacāpaśyataḥkāntāmahanyahanivardhate,śokaḥ gacchatā: kālena: apagacchatikila: kāntām: apaśyataḥ mamaca: ahanyahani: vardhate:
tasya tadvacanaṃ śrutvā rākṣasāste caturdaśaūcurvācaṃ susaṃkruddhā brahmaghnāśśūlapāṇayaḥ,tasya tat vacanam śrutvā brahmaghnāḥ śūlapāṇayaḥ te caturdaśa rākṣasāḥ susaṅkruddhāḥ vācam ūcuḥ
yasya yasya yathākāmaṃ ṣaḍraseṣvabhipūjitamtatsarvaṃ kāmadhukkṣipramabhivarṣa kṛte mama,kāmadhuk yasya yasya ṣaḍraseṣu abhipūjitam tatsarvam yathākāmam mama kṛte kṣipram abhivarṣa
dāśāstvā'nu'gamiṣyanti dhanvinassusamāhitāḥahaṃ tvānugamiṣyāmi rājaputra mahāyaśaḥ,mahāyaśaḥ rājaputraḥ dhanvinaḥ dāśāḥ susamāhitāḥ tvā anugamiṣyanti aham tvā anugamiṣyāmi
sādhu sainyāḥ pratiṣṭhantāṃ vicinvantu ca kānane yathā tau puruṣavyāghrau dṛśyete rāmalakṣmaṇau,puruṣavyāghrau tau rāmalakṣmaṇau yathā dṛśyete sainyāḥ sādhu pratiṣṭhantām kānane vicinvantu ca
sa ca bhūmidharaḥ śrīmānbalinā tena pīḍitaḥ savṛkṣaśikharodagraḥ praviveśa rasātalam,balinā tena pīḍitaḥ savṛkṣaśikharodagraḥ śrīmān saḥ bhūmidharaśca rasātalam praviveśa
kva ca te kṣatriyabalaṃ kva ca brahmabalaṃ mahatpaśya brahmabalaṃ divyaṃ mama kṣatriyapāṃsana,kṣatriyapāṃsana te kṣatriyabalam kva mahat brahmabalam kva mama divyam brahmabalam paśya
nalaścāpi mahāvīryassaṃvṛto drumavāsibhiḥkoṭīśatena samprāptassahasreṇa śatena ca,mahāvīryaḥ nalaścāpi koṭīśatena sahasreṇa śatena ca drumavāsibhiḥ saṃvṛtaḥ samprāptaḥ
antarikṣātpapātolkānirāghatasamanirghāsvanā vineduraśivāgṛdhrāvāyasairabhimiśritāḥ,antarikṣāt nirghātasamaniḥsvanā ulkā papāta vāyasaiḥ abhimiśritāḥ aśivāḥ gṛdhrāḥ vineduḥ
vidyādvayamadhīyāne yaśaścāpyatulaṃ tvayipitāmahasute hyete vidye tejassamanvite pradātuṃ tava kākutstha sadṛśastvaṃ hi dhārmika,vidyādvayam adhīyāne tvayi atulam yaśaśca kakutstha dhārmika tejassamanvite pitāmahasute ete vidye tava pradātum tvam sadṛśa:
anāthavadvilapasi nāthe tu mayi saṃsthiteuttiṣṭhottiṣṭha mābhaiṣīrvaiklavyaṃ tyajyatāmiha,nāthe mayi saṃsthite anāthavat vilapasi uttiṣṭha mā bhaiṣīḥ iha vaiklabyam tyajyatām
idaṃ rājyaṃ mahāprājña sthāpaya pratipadya hiśaktimānasi kākutstha lokasya paripālane,mahāprājña idaṃ rājyam pratipadya sthāpaya kākutstha lokasya paripālane śaktimān asi
rākṣasābhyāmahaṃ dvābhyāmanirviṇṇastathā kṛtaḥsahito mṛgarūpābhyāṃ praviṣṭo daṇḍakāvanam,tathākṛtaḥ anirviṇṇaḥ aham mṛgarūpābhyām dvābhyām rākṣasābhyām sahitaḥ daṇḍakāvanam praviṣṭaḥ
vihāya tandrīṃ śokaṃ ca nidrāṃ caiva samutthitāmvicinudhvaṃ yathā sītāṃ paśyāmo janakātmajām,samutthitām tandrīṃ śokaṃ ca nidrāṃ caiva vihāya janakātmajām sītām paśyāmaḥ yathā vicinudhvam
sṛjanto bāṇavṛṣṭiṃ te rathagarjitanissvanāḥvṛṣṭimanta ivāṃbhodā vicerurnaiṛtāmbudāḥ,rathagarjitanisvanāḥ te naiṛtāmbudāḥ bāṇavṛṣṭim sṛjantaḥ vṛṣṭimantaḥ ambhodāḥ iva viceruḥ
yo na devāsuraissarvaiśśakyaḥ prasahituṃ yudhitaṃ paśya guha saṃviṣṭaṃ tṛṇeṣu saha sītayā,guha yaḥ sarvaiḥ devāsuraiḥ yudhi prasahituṃ na śakyaḥ tam sītayā saha tṛṇeṣu saṃviṣṭam paśya
yasyaite pratirājāna udapadyanta śatrava:haihayāstālajaṃghāśca śūrāśca śaśibindava:,yasya haihayā: tālajaṃghāśca śūrā: śaśibindavaśca ete pratirājāna: śatrava: udapadyanta
prīto'smi te mahatkarma tvayā kṛtamidaṃ prabhopradeyo yannimittaṃ te pariṣvaṅgo mayā kṛtaḥ,prabho tvayā mahat karma kṛtam te prītaḥ asmi yannimittam te pradeyaḥ pariṣvaṅgaḥ mayā kṛtaḥ
tata: kālena mahatā matissamabhijāyata sagarasya naraśreṣṭha yajeyamiti niścitā,naraśreṣṭha tata: mahatā kālena sagarasya yajeyam iti niścitā mati: samabhijāyata
sā rākṣasānāṃ pravareṇa jānakī svaśīlasaṃrakṣṇatatparā satīanena nūnaṃ prati duṣṭakarmaṇā hatā bhavedāryapathe pare sthitā,pare āryapathe sthitā sā jānakī svaśīlasaṃrakṣaṇatatparā satī prati duṣṭakarmaṇā anena rākṣasānāṃ pravareṇa hatā bhavet nūnam
tatastaṃ bhīmadhanvānaṃ kruddhāḥ sarve niśācarāḥrāmaṃ nānāvidhaiḥ śassrairabhyavarṣanta durjayam,tataḥ sarve kruddhāḥ niśācarāḥ bhīmadhanvānam durjayam taṃ rāmam nānāvidhaiḥ śassraiḥ abhyavarṣanta
etattu vacanaṃ śrutvā kaikeyyā samudāhṛtamuvāca vyathito rāmastāṃ devīṃ nṛpasannidhau,kaikeyyā samudāhṛtam etat vacanam śrutvā rāma: vyathita: nṛpasannidhau tāṃ devīṃ uvāca
puraṃ ca rāṣṭraṃ ca mahī ca kevalāmayā nisṛṣṭā bharatāya dīyatāmahaṃ nideśaṃ bhavato'nupālayanvanaṃ gamiṣyāmi cirāya sevitum,puraṃ ca rāṣṭraṃ ca mayā nisṛṣṭā kevalā mahī ca bharatāya dīyatām aham bhavataḥ nideśam anupālayan vanam cirāya sevitum gamiṣyāmi
pṛthivyāścāpi nirbhedo'dṛṣṭa eva sanātana: sagarasya ca putrāṇāṃ vināśo'dīrghajīvinām,pṛthivyā nirbheda: adīrghajīvinām sagarasya putrāṇām vināśaśca sanātana: dṛṣṭa eva
tataḥkumbhastusugrīvaṃbāhubhyāṃjagṛhetadā gajāvivāhitamadauniśśvasantaumuhurmuhu anyonyagātragrathitaukarṣantāvitaretaram sadhūmāṃmukhatojvālāṃvisṛjantaupariśramāt,tataḥ kumbhaḥ bāhubhyām sugrīvam jagṛhe tadā ahatamadau gajāviva muhurmuhuḥ niśśvasantau anyonyagātragrathitau itaretaram karṣantau pariśramāt mukhataḥ sadhūmām jvālām vispajantau
tebāṇāḥkālasaṅkāśārākṣasendradhunuścyutāḥ hemapuṅkhāraviprakhyāścakrurdīptamivāmbaram,rākṣasendradhanuścyutāḥ kālasaṅkāśāḥ hemapuṅkhāḥ raviprakhyāḥ te ambaram dīptam iva cakruḥ
nānādeśādanuprāptā: puruṣāsstrīgaṇāstathāannapānaissuvihitāstasminyajñe mahātmana:,mahātmana: tasmin yajñe nānādeśāt anuprāptā: puruṣā: tathā strīgaṇā: annapānai: suvihitā
na matsakāśamāgacchetkṛtye hi vinipātiteyuvarājo mahābāhuḥ plavatāṃ pravaro'ṅgadaḥ,yuvarājaḥ mahābāhuḥ plavatām pravaraḥ aṅgadaḥ kṛtye vinipātite matsakāśam nāgacchet
iha me sthaṇḍile śīghraṃ kuśānāstara sāratheāryaṃ pratyupavekṣyāmi yāvanme na prasīdati,sārathe me iha sthaṇḍile śīghram kuśān āstara yāvat me na prasīdati āryam pratyupavekṣyāmi
te kapīndraṃ samāsādya toraṇasthamavasthitamabhipeturmahāvegāḥ pataṅgā iva pāvakam,te toraṇastham avasthitam kapīndram samāsādya mahāvegāḥ pataṅgāḥ pāvakam iva abhipetuḥ
tatra tatra ca vinyastāndīptānvaiśvānaraprabhān dadṛśurvānarāśśubhrāñjātarūpasya sañcayān,vānarāḥ tatra tatra vinyastān dīptān vaiśvānaraprabhān śubhrān jātarūpasya sañcayān dadṛśuḥ
